ZCTA5,STATE,STUSAB,STATE_NAME
2644,25,MA,Massachusetts
2645,25,MA,Massachusetts
2646,25,MA,Massachusetts
2647,25,MA,Massachusetts
2648,25,MA,Massachusetts
2649,25,MA,Massachusetts
2650,25,MA,Massachusetts
2651,25,MA,Massachusetts
2652,25,MA,Massachusetts
2653,25,MA,Massachusetts
2655,25,MA,Massachusetts
2657,25,MA,Massachusetts
2659,25,MA,Massachusetts
2660,25,MA,Massachusetts
2663,25,MA,Massachusetts
2664,25,MA,Massachusetts
2666,25,MA,Massachusetts
2667,25,MA,Massachusetts
2668,25,MA,Massachusetts
2669,25,MA,Massachusetts
2670,25,MA,Massachusetts
2671,25,MA,Massachusetts
2672,25,MA,Massachusetts
2673,25,MA,Massachusetts
2675,25,MA,Massachusetts
2702,25,MA,Massachusetts
2703,25,MA,Massachusetts
2713,25,MA,Massachusetts
2715,25,MA,Massachusetts
2717,25,MA,Massachusetts
2718,25,MA,Massachusetts
2719,25,MA,Massachusetts
2720,25,MA,Massachusetts
2721,25,MA,Massachusetts
2723,25,MA,Massachusetts
2724,25,MA,Massachusetts
2725,25,MA,Massachusetts
2726,25,MA,Massachusetts
2738,25,MA,Massachusetts
2739,25,MA,Massachusetts
2740,25,MA,Massachusetts
2743,25,MA,Massachusetts
2744,25,MA,Massachusetts
2745,25,MA,Massachusetts
2746,25,MA,Massachusetts
2747,25,MA,Massachusetts
2748,25,MA,Massachusetts
2760,25,MA,Massachusetts
2762,25,MA,Massachusetts
2763,25,MA,Massachusetts
2764,25,MA,Massachusetts
2766,25,MA,Massachusetts
2767,25,MA,Massachusetts
2769,25,MA,Massachusetts
2770,25,MA,Massachusetts
2771,25,MA,Massachusetts
2777,25,MA,Massachusetts
2779,25,MA,Massachusetts
2780,25,MA,Massachusetts
2790,25,MA,Massachusetts
2791,25,MA,Massachusetts
2861,25,MA,Massachusetts
2802,44,RI,Rhode Island
2804,44,RI,Rhode Island
2806,44,RI,Rhode Island
2807,44,RI,Rhode Island
2808,44,RI,Rhode Island
2809,44,RI,Rhode Island
2812,44,RI,Rhode Island
2813,44,RI,Rhode Island
2814,44,RI,Rhode Island
2815,44,RI,Rhode Island
2816,44,RI,Rhode Island
2817,44,RI,Rhode Island
